2026-04-05 22:02:01,348 | watchdog             | INFO     | Windows sleep prevention active.
2026-04-05 22:02:01,349 | watchdog             | INFO     | Starting Watchdog supervisor...
2026-04-05 22:02:01,350 | watchdog             | INFO     | =================================================================
2026-04-05 22:02:01,350 | watchdog             | INFO     | WATCHDOG STARTED
2026-04-05 22:02:01,350 | watchdog             | INFO     |   Developer:          mohannad_zahra
2026-04-05 22:02:01,350 | watchdog             | INFO     |   Scraper:            C:\Users\mohan\OneDrive\Desktop\E-Commerce Market Dynamics & XAI Forecasting Engine\Web Scrapper\scraper_deployment\scraper.exe
2026-04-05 22:02:01,351 | watchdog             | INFO     |   Health check:       every 30s
2026-04-05 22:02:01,351 | watchdog             | INFO     |   Max restarts:       5
2026-04-05 22:02:01,351 | watchdog             | INFO     | =================================================================
2026-04-05 22:02:01,352 | watchdog             | INFO     | Launching scraper: C:\Users\mohan\OneDrive\Desktop\E-Commerce Market Dynamics & XAI Forecasting Engine\Web Scrapper\scraper_deployment\scraper.exe
2026-04-05 22:02:01,359 | watchdog             | INFO     | Scraper launched successfully (PID=20832)
2026-04-05 22:05:12,696 | watchdog             | INFO     | Windows sleep prevention active.
2026-04-05 22:05:12,699 | watchdog             | INFO     | Starting Watchdog supervisor...
2026-04-05 22:05:12,699 | watchdog             | INFO     | =================================================================
2026-04-05 22:05:12,699 | watchdog             | INFO     | WATCHDOG STARTED
2026-04-05 22:05:12,700 | watchdog             | INFO     |   Developer:          mohannad_zahra
2026-04-05 22:05:12,700 | watchdog             | INFO     |   Scraper:            C:\Users\mohan\OneDrive\Desktop\E-Commerce Market Dynamics & XAI Forecasting Engine\Web Scrapper\scraper_deployment\scraper.exe
2026-04-05 22:05:12,700 | watchdog             | INFO     |   Health check:       every 30s
2026-04-05 22:05:12,700 | watchdog             | INFO     |   Max restarts:       5
2026-04-05 22:05:12,700 | watchdog             | INFO     | =================================================================
2026-04-05 22:05:12,700 | watchdog             | INFO     | Launching scraper: C:\Users\mohan\OneDrive\Desktop\E-Commerce Market Dynamics & XAI Forecasting Engine\Web Scrapper\scraper_deployment\scraper.exe
2026-04-05 22:05:12,710 | watchdog             | INFO     | Scraper launched successfully (PID=5332)
